"unitid","institution name","year","HD2018.State abbreviation","DRVF2018.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2018.Endowment assets (year end) per FTE enrollment (FASB)","HD2018.Institution size category","HD2018.State abbreviation","HD2018.FIPS state code","HD2018.Bureau of Economic Analysis (BEA) regions","HD2018.Sector of institution","HD2018.Level of institution","HD2018.Control of institution","HD2018.Degree-granting status","HD2018.Historically Black College or University","HD2018.Tribal college","HD2018.Land Grant Institution","HD2018.Degree of urbanization (Urban-centric locale)","HD2018.Data Feedback Report comparison group created by NCES","HD2018.Data Feedback Report - Institution submitted a custom comparison group","HD2018.Postsecondary and Title IV institution indicator","HD2018.Institutional category","HD2018.Carnegie Classification 2018: Basic","HD2018.Carnegie Classification 2018: Undergraduate Instructional Program","HD2018.Carnegie Classification 2018: Graduate Instructional Program","HD2018.Carnegie Classification 2018: Undergraduate Profile","HD2018.Carnegie Classification 2018: Enrollment Profile","HD2018.Carnegie Classification 2018: Size and Setting","HD2018.Carnegie Classification 2015: Basic","HD2018.Carnegie Classification 2005/2010: Basic","HD2018.Carnegie Classification 2000","HD2018.Institution size category","DRVEF2018.Total  enrollment","DRVEF2018.Undergraduate enrollment","DRVEF2018.Graduate enrollment"
"164915","Boston Graduate School of Psychoanalysis Inc","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Other health professions schools, public or private not-for-profit/3 of 3","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Special Focus Four-Year: Other Health Professions Schools","Not Classified (Exclusively Graduate Programs)","Postbaccalaureate: Other-dominant, with other professional programs","Not classified (Exclusively Graduate)","Exclusively graduate","Exclusively graduate/professional","Special Focus Four-Year: Other Health Professions Schools","Other health professions schools","Other separate health profession schools","Under 1,000","135","0","135"
"164924","Boston College","2018","Massachusetts",,"192521","10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Doctoral Universities: Highest Research Activity, private not-for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, lower transfer-in","Majority undergraduate","Four-year, large, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (high research activity)","Doctoral/Research Universities--Extensive","10,000 - 19,999","14720","9927","4793"
"164988","Boston University","2018","Massachusetts",,"66757","20,000 and above","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Doctoral Universities: Highest Research Activity, private not-for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Four-year, full-time, more selective, lower transfer-in","Majority undergraduate","Four-year, large, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (very high research activity)","Doctoral/Research Universities--Extensive","20,000 and above","34657","18515","16142"
"165015","Brandeis University","2018","Massachusetts",,"154905","5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Doctoral Universities: Highest Research Activity, private not-for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Arts & sciences focus, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, lower transfer-in","Majority undergraduate","Four-year, medium, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (very high research activity)","Doctoral/Research Universities--Extensive","5,000 - 9,999","5800","3639","2161"
"165024","Bridgewater State University","2018","Massachusetts","5372",,"10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Masters Colleges and Universities (larger programs), public/2 of 5","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Postbaccalaureate: Comprehensive programs","Four-year, full-time, selective, higher transfer-in","Very high undergraduate","Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (larger programs)","Masters Colleges and Universities I","10,000 - 19,999","10990","9504","1486"
"165033","Bristol Community College","2018","Massachusetts","1287",,"5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Associate's Colleges: High Transfer-High Traditional, public/3 of 4","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: High Transfer-High Traditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, mixed part/full-time","Exclusively undergraduate two-year","Two-year, medium","Associate's Colleges: High Transfer-High Traditional","Associate's--Public Urban-serving Multicampus","Associates Colleges","5,000 - 9,999","7214","7214","0"
"165060","Signature Healthcare Brockton Hospital School of Nursing","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 2-year","At least 2 but less than 4 years","Private not-for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","Suburb: Large","Nondegree-granting private not-for-profit, largest program - health","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","244","244","0"
"165112","Bunker Hill Community College","2018","Massachusetts","433",,"10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Associate's Colleges: High Transfer-High Traditional, public/2 of 4","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: High Transfer-High Traditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, large","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's--Public Urban-serving Multicampus","Associates Colleges","10,000 - 19,999","12522","12522","0"
"165167","Cambridge College","2018","Massachusetts",,"39640","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Single program-Education","Four-year, higher part-time","Majority graduate","Four-year, small, primarily nonresidential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (larger programs)","Teachers colleges","1,000 - 4,999","2234","730","1504"
"165194","Cape Cod Community College","2018","Massachusetts","3306",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/4 of 4","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, small","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's--Public Rural-serving Medium","Associates Colleges","1,000 - 4,999","2996","2996","0"
